,Model,Accuracy,f1-score,Precision,Recall,Log loss,ROC-AUC
0,Random Forest Classifier,0.5033333333333333,0.48726772195457674,0.5042735042735043,0.47137150466045274,17.154444449409446,0.5033760060017884
1,K Nearest Neighbor,0.5026666666666667,0.49730458221024254,0.5034106412005457,0.49134487350199735,17.17747882937864,0.5026817825453912
2,Gaussian Naive Bayes,0.5003333333333333,0.41604986365407093,0.5014084507042254,0.355525965379494,17.258016800735515,0.5005266676029646
3,Support Vector Machine,0.494,0.4033018867924528,0.4923224568138196,0.3415446071904128,17.476761851504996,0.49420354525074717
4,Logistic Regression,0.495,0.40283799763500194,0.49371980676328503,0.3402130492676431,17.4422217424477,0.49520665814517006
